Embrace who you really are.  Authenticity, what the fuck does it even mean?  You're like me, you get confused by these trendy words.  This will be the episode for you.  Welcome to The Meaningful Shit Show with your host Vincent.

In a world full of selfishness, blaming and scapegoating, Vincent aims to inspire inner work with deep topics and insights on emotion regulation.  Personal development, psychology, philosophy, and the trauma growth healing process.  Let me start with a quote.  To be an interesting actor, you must be authentic.  For you to ever be authentic, you must embrace who you really are.

Do you have any idea how liberating it is to not care about what people think about you?  Well, that's what we're here to do.  And this is by Sanford Meissner of the Meissner Technique Studio.  Before I get started, and I'll tell you guys a little bit more about Sanford Meissner later, I just wanted to check in on the word authenticity.  And I checked on Google Trends.

It's actually never been as trendy as it is now, which is a little surprising to me.  I thought we were like sort of over the hump.  But we get told to be authentic, think authentic, act authentic, all these things.  But as I started this episode with, what the fuck does that even mean?  If you know what it means, likely you are not watching this episode.

Maybe you have a very strong internal compass and you know what is authentically yours and there's not a shadow of doubt ever.  But I think there's a lot of me who require tools and techniques to figure out what we are feeling authentically.  It doesn't automatically appear in our awareness.  We have to do some mindfulness exercises.  We have to train ourselves to listen what our mind and body is saying, and not immediately jump to the next step ahead.

We're going to explore that in this episode.  I will tell you what authenticity means to me without having done a lot of theoretical research behind it, what the latest psychologist's journal says about that.  But to me, it means first and foremost that you feel authentic.  In other words, that you experience your feelings in an authentic way.  So you feel how you feel.

You're not denying your feels.  You're not trying to feel feels that you're not feeling.  Very straightforward.  Or feel guilty about feeling them or not feeling them or etc.  Just being real with yourself and being aware what's coming up for you.

Sounds pretty simple, right?  But I can't stress enough how it seems simple, but that is actually very hard for most of us because we skip a step.  We so much so quickly go from the emotion to an action urge doing something, especially when it comes to interacting with another individual into personal effectiveness.  Especially if I talk or think about men, oftentimes men have two emotions.  They're okay or they're upset, you know, and there's not a lot of resolution there, and that doesn't really help for you to know what you're authentically feeling.

There's many shades of upset, and oftentimes upset is not really what you feel.  There's something underneath.  So you've jumped ahead to upset or you've just labeled it upset because you don't know exactly what's going on.  Actually, I see that a lot in my episode.  I talked about addiction, the people that I've worked with in context of addiction.

That's oftentimes the men that I see that are least aware of the spectrum of their emotions.  One of the tools that I have come across in my acting career that I have found incredibly important to hone on what is authentically true for me, which again, as I said, step one of acting authentically is first feel how you feel about that.  Like I said, came through an acting technique, which was powered by a technique or an acting exercise that's part of a technique created by Sanford Meisner, who was with us in 1905 and he passed away in 1997.  He's an American actor and acting teacher who developed an approach to acting instruction.  There's much more to the technique.

But we're really focusing on a specific element of that, and that is the repetitions.  So actors use a repetition exercise to help them focus on the emotions over the words themselves.  That's a little complicated, or maybe it's not complicated, it's straightforward, but it doesn't describe it in that much detail.  So I'm going to go into that in more detail, what that repetition exercise would look like, and what are the rules of engagement.  Other things that come up when talking about the Meisner technique is a focus on others.

Actors are encouraged to focus on their scene partners and the immediate environment rather than their own thoughts and their own feelings.  So, highly interactive.  Improvisation, actors are encouraged to be spontaneous and limit their thinking.  And this applies to the repetitions exercise as well.  This exercise is oftentimes used both outside of the play and inside of the play as is called, outside of the play to like emotionally ground yourself, to you as a person know what's going on for you.

And in the world of the play, you can do the same repetitions exercise for the character that you're playing.  I have much more to say about, in this case, method acting, a specific type of acting, that which is the school that I follow and have experience in.  But this episode would be too long if I go into that in this right now.  Plus, it's a very experiential thing, so it's really hard to just talk theory about these things, which actually is going to be a challenge for this exercise as well.  I learned this in the acting class I go to at Margie Haber Studios.

I've worked with the talented Iman Nazemzadeh, and it took me about four weeks to finally get what this is really about.  And that's after knowing the theory, but mainly just experiencing it experientially.  It's very uncomfortable.  So this is an exercise where you and your scene partner, to people in your class or a random other people, a person, stand across from each other.  Generally, you're pretty locked in, you're looking at each other, and you're having a very direct conversation, or it's not conversation, it's just exchanging feelings.

So there's no storytelling.  This might be a semi-stranger that you're talking to.  Maybe you've seen the person once or twice, but you don't really know that much about them.  You're keeping eye contact throughout.  You're trying to not filter whatever is going on for you.

So that means that you would say things to that person that in normal parlance is not really accepted.  And they do that to you.  So you have to deal with that, of someone doing something to you.  That's very uncomfortable to maintain.  Don't have to, but generally, you maintain eye contact.

You observe, right?  So an example is, we have two people standing across from each other, an A and a B.  Let's get started.  Let's see what we can do with this.  So, person A, I am happy to see.

Person B, you are happy to see me.  Person A, I am happy to see.  B, I am annoyed with you.  Something changed, so now I'm going into meta-communication here.  So, what we've seen is normally would you just, whatever came up, person A was happy to see the other person.

You repeat that a number of times.  Something else might come up.  For person B in this case is annoyed with person A.  So, person A, you are annoyed with me.  B, I am annoyed with you.

A, I don't like that.  B, you don't like that.  A, I don't like that.  B, you don't like that.  A, I don't like that.

B, you don't like that.  A, I don't like that.  B, I feel guilty.  A, you feel guilty.  B, I feel guilty.

A, you feel guilty.  B, I feel guilty.  I think I messed it up there.  A, I feel defensive.  B, you feel defensive.

A, I'm feeling disconnected.  B, you are feeling disconnected.  A, I want to connect.  B, you want to connect.  A, I want to connect.

B, I don't believe you.  Et cetera.  So what I tried to do is, of course, I related this to my experiences, what I've actually seen happen in real life in this exercise, that generally there's some kind of emotional journey that you go through.  You're still two people, so you're still trying generally in these situations, what do you do with the different human that you're staring right into the eyes.  Generally, you want to create some kind of vibe or connection.

That's what we humans naturally do, and sometimes that connection doesn't come, and then we're uncomfortable, and then we don't really want to do it.  And that's exactly the interesting part of this repetitions exercise, because you have to deal with that situation.  That's the situation in real life, we would go and do something else, we would look away, we would think, okay, well, that's rude, or we would leave, or like whatever.  In this situation, you get to sit in that.  You get to deal with that.

You get to be really, really, really, really uncomfortable until the teacher finally tells you that it's time to sit down.  Like I said before, you don't go into story form.  So for example, you could say, I don't know what that means, but you don't say, I'm confused because you stay on the primary.  You first have to not know what something means before you're confused.  Right?

So you're trying to stay as basic as possible, which is what we normally don't do, that normally just sort of like flies by.  We're interested in the result or we're interested in the action urge that comes from that.  In this case, it's different.  So I really see that as an exercise in authenticity.  Although this is a setting that is focused on acting, and we are talking about real life, you can of course think about the fact that there are so many parallels between acting and real life.

And that requires diving into the different acting techniques that are there, because there are acting techniques that definitely are not like real life.  But the school that I follow and go to focuses a lot on making as much real as possible.  You're not showing emotions, you're feeling those emotions.  You create a situation where you're creating false memories.  But the memories, in a way, all memories are false, right?

I mean, they happened, you know, that you have a father, a mother, etc, etc.  But the memories are incomplete and like sort of a summary.  So in the process of acting, you can create memories that are sufficiently vibrant to pass as real memories so that it evokes emotions, which is one of the greatest things of our brains.  If we're really detailed about a situation, we imagine how we feel.  And if you look at the neuroscience, like it's, it's you, there's no distinction between imagining it and being in that situation.

It's, it's, it's the same.  We, we run in the same type of, like, simulation mode.  But it's a little bit too deep for this episode right now.  So, so this repetitions exercise is an exercise in authenticity, but it's more authentic than you could get away with in real life.  Because it's without any filter, directly putting words to the feelings that arise to you.

So this is something that we do very rarely.  Maybe when you have a meditation practice, that you really focus on being aware of thoughts and feelings, naming them and then letting them go.  And in a way, this is very similar, right?  Because you're not just overloading your brain with reasoning, a thing and a thing, the next thing and the next thing, but you're trying to slow everything down. , etc.

Some of the key sentences that I hear coming by in such an exercise that are quite different from real life, they would be offensive in real life.  The example that I gave of I didn't believe that, right?  In real life, if you don't believe something that someone tells you, you approach that in a different way.  Instead of just saying the first thing that pops into your head, like a toddler or something like that, you think about who am I talking to?  What's the relationship that I have with that person?

Do they have a precedent of lying?  Like why do I think that they're lying?  Or maybe they're not lying, but they're mistaken or something like that.  Why is that?  And then, what is polite?

What is proper to say?  Again, in relation to the relationship that you have with that person.  So, there's like all this stuff going on before that pre-processing, in a way, before you say the next thing.  You don't believe something you could decide to not really do that much with that.  You might not believe that the Starbucks barista wants you to have a great day or something like that.

